id_partido,fecha,hora_chile,fase,grupo,local,visita
1,2026-06-11,15:00,Fase de grupos,A,México,Sudáfrica
2,2026-06-11,22:00,Fase de grupos,A,Corea del Sur,República Checa
3,2026-06-12,15:00,Fase de grupos,B,Canadá,Bosnia y Herzegovina
4,2026-06-12,21:00,Fase de grupos,D,Estados Unidos,Paraguay
5,2026-06-13,15:00,Fase de grupos,B,Qatar,Suiza
6,2026-06-13,18:00,Fase de grupos,C,Brasil,Marruecos
7,2026-06-13,21:00,Fase de grupos,C,Haití,Escocia
8,2026-06-13,00:00,Fase de grupos,D,Australia,Turquía
9,2026-06-14,13:00,Fase de grupos,E,Alemania,Curazao
10,2026-06-14,16:00,Fase de grupos,F,Países Bajos,Japón
11,2026-06-14,19:00,Fase de grupos,E,Costa de Marfil,Ecuador
12,2026-06-14,22:00,Fase de grupos,F,Suecia,Túnez
13,2026-06-15,12:00,Fase de grupos,H,España,Cabo Verde
14,2026-06-15,15:00,Fase de grupos,G,Bélgica,Egipto
15,2026-06-15,18:00,Fase de grupos,H,Arabia Saudita,Uruguay
16,2026-06-15,21:00,Fase de grupos,G,Irán,Nueva Zelanda
17,2026-06-16,15:00,Fase de grupos,I,Francia,Senegal
18,2026-06-16,18:00,Fase de grupos,I,Irak,Noruega
19,2026-06-16,21:00,Fase de grupos,J,Argentina,Argelia
20,2026-06-16,00:00,Fase de grupos,J,Austria,Jordania
21,2026-06-17,13:00,Fase de grupos,K,Portugal,RD de Congo
22,2026-06-17,16:00,Fase de grupos,L,Inglaterra,Croacia
23,2026-06-17,19:00,Fase de grupos,L,Ghana,Panamá
24,2026-06-17,22:00,Fase de grupos,K,Uzbekistán,Colombia
25,2026-06-18,12:00,Fase de grupos,A,República Checa,Sudáfrica
26,2026-06-18,15:00,Fase de grupos,B,Suiza,Bosnia y Herzegovina
27,2026-06-18,18:00,Fase de grupos,B,Canadá,Qatar
28,2026-06-18,21:00,Fase de grupos,A,México,Corea del Sur
29,2026-06-19,15:00,Fase de grupos,D,Estados Unidos,Australia
30,2026-06-19,18:00,Fase de grupos,C,Escocia,Marruecos
31,2026-06-19,20:30,Fase de grupos,C,Brasil,Haití
32,2026-06-19,23:00,Fase de grupos,D,Turquía,Paraguay
33,2026-06-20,13:00,Fase de grupos,F,Países Bajos,Suecia
34,2026-06-20,16:00,Fase de grupos,E,Alemania,Costa de Marfil
35,2026-06-20,20:00,Fase de grupos,E,Ecuador,Curazao
36,2026-06-20,00:00,Fase de grupos,F,Túnez,Japón
37,2026-06-21,12:00,Fase de grupos,H,España,Arabia Saudita
38,2026-06-21,15:00,Fase de grupos,G,Bélgica,Irán
39,2026-06-21,18:00,Fase de grupos,H,Uruguay,Cabo Verde
40,2026-06-21,21:00,Fase de grupos,G,Nueva Zelanda,Egipto
41,2026-06-22,13:00,Fase de grupos,J,Argentina,Austria
42,2026-06-22,17:00,Fase de grupos,I,Francia,Irak
43,2026-06-22,20:00,Fase de grupos,I,Noruega,Senegal
